id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,latitude,longitude,cluster
13428402,JH224192,4/13/2024 23:45,034XX W BELMONT AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1732,17,35,21,6,2024,4/21/2024 15:40,41.93926234,-87.71335694,1
13428813,JH224692,4/13/2024 23:45,062XX W NEWPORT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1633,16,30,17,7,2024,4/21/2024 15:40,41.94295823,-87.78211557,2
13428579,JH224197,4/13/2024 23:45,0000X N LARAMIE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1522,15,37,25,08A,2024,4/21/2024 15:40,41.88191716,-87.75512103,1
13428447,JH224206,4/13/2024 23:43,058XX S HALSTED ST,460,BATTERY,SIMPLE,GAS STATION,FALSE,FALSE,712,7,16,68,08B,2024,4/21/2024 15:40,41.78727201,-87.64497486,1
13428551,JH224202,4/13/2024 23:42,052XX S ROCKWELL ST,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,STREET,FALSE,FALSE,923,9,14,63,04A,2024,4/21/2024 15:40,41.79879026,-87.68905898,2
13431443,JH227245,4/13/2024 23:40,056XX S UNIVERSITY AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,235,2,5,41,6,2024,4/21/2024 15:40,41.79243997,-87.59810198,1
13428457,JH224204,4/13/2024 23:40,019XX S PAULINA ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1234,12,25,31,15,2024,4/21/2024 15:40,41.85554591,-87.66859088,2
13428400,JH224208,4/13/2024 23:39,015XX S KOMENSKY AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1012,10,24,29,08B,2024,4/21/2024 15:40,41.85984959,-87.72620567,1
13428431,JH224203,4/13/2024 23:38,015XX N AVERS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2535,25,26,23,08B,2024,4/21/2024 15:40,41.90898948,-87.72284902,1
13428490,JH224209,4/13/2024 23:36,048XX W THOMAS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1531,15,37,25,08B,2024,4/21/2024 15:40,41.90050637,-87.74694196,1
13429545,JH224875,4/13/2024 23:30,011XX W JACKSON BLVD,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,1232,12,27,28,2,2024,4/21/2024 15:40,41.87781417,-87.65568455,1
13428662,JH224488,4/13/2024 23:30,014XX E HYDE PARK BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,234,2,4,41,14,2024,4/21/2024 15:40,41.80242522,-87.59151444,2
13428407,JH224242,4/13/2024 23:30,046XX N CLARENDON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1914,19,46,3,7,2024,4/21/2024 15:40,41.96681717,-87.65005387,2
13428418,JH224187,4/13/2024 23:30,010XX W 119TH ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS,TRUE,FALSE,524,5,21,53,04B,2024,4/21/2024 15:40,41.6777326,-87.64770646,1
13428406,JH224193,4/13/2024 23:30,015XX W LAWRENCE AVE,860,THEFT,RETAIL THEFT,GAS STATION,FALSE,FALSE,2032,20,47,3,6,2024,4/21/2024 15:40,41.96888642,-87.66830001,1
13428809,JH224534,4/13/2024 23:30,040XX W CULLOM AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1722,17,39,16,08B,2024,4/21/2024 15:40,41.95911707,-87.72833797,1
13428475,JH224196,4/13/2024 23:29,033XX W BEACH AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,1422,14,26,23,04B,2024,4/21/2024 15:40,41.90733973,-87.70999225,2
13428444,JH224183,4/13/2024 23:24,072XX S HOYNE AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,735,7,17,67,08B,2024,4/21/2024 15:40,41.76260358,-87.67590317,2
13428385,JH224188,4/13/2024 23:22,096XX S ESCANABA AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,ALLEY,FALSE,FALSE,431,4,10,51,15,2024,4/21/2024 15:40,41.72020895,-87.55380554,2
13428446,JH224182,4/13/2024 23:18,056XX S EMERALD AVE,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,RESIDENCE,FALSE,TRUE,711,7,16,68,04B,2024,4/21/2024 15:40,41.7918786,-87.64388046,1
13432559,JH228299,4/13/2024 23:10,001XX W Hubbard St,870,THEFT,POCKET-PICKING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,2024,4/21/2024 15:40,41.89001352,-87.631665,1
